doi	journal	type	n_authors	published	review_available	country	edomain	citations	oa_retracted	time_between	retracted	time_to_retraction
10.1371/journal.pone.0256145	PLOS ONE	Research Article	-1.31604562218867	0.0549564644152841	TRUE	Ethiopia	gmail	8	FALSE	-0.106699171673563	FALSE	1480
10.1371/journal.pone.0256176	PLOS ONE	Research Article	0.167409661548329	0.0489940065864033	FALSE	c("Ethiopia", "Ethiopia", "Australia", "Australia", "Australia")	gmail	20	FALSE	-0.560760422151839	FALSE	1476
10.1371/journal.pone.0256193	PLOS ONE	Research Article	0.167409661548329	-0.154156703286922	FALSE	c("Ethiopia", "Ethiopia", "Ethiopia")	gmail	7	FALSE	1.8544589952858	FALSE	1313
10.1371/journal.pone.0256195	PLOS ONE	Research Article	-0.634083669787924	0.03578009715523	FALSE	c("Ethiopia", "Ethiopia", "Kenya", "Ethiopia")	c("gmail", "edu")	10	FALSE	1.47768476616553	FALSE	1467
10.1371/journal.pone.0256236	PLOS ONE	Research Article	-0.0797603992886365	0.0549564644152841	FALSE	c("Ethiopia", "Ethiopia", "Ethiopia")	gmail	17	FALSE	-0.502795156133336	FALSE	1480
10.1371/journal.pone.0256330	PLOS ONE	Research Article	0.827966985898966	0.0343288389472387	FALSE	c("Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia")	gmail	75	FALSE	1.11057141471501	FALSE	1466
10.1371/journal.pone.0256399	PLOS ONE	Research Article	0.399556858047878	0.0401540749097096	TRUE	c("Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia")	gmail	12	FALSE	-0.58008217749134	FALSE	1470
10.1371/journal.pone.0256418	PLOS ONE	Research Article	-1.31604562218867	0.046033625426609	TRUE	Ethiopia	gmail	7	FALSE	1.34243247878902	FALSE	1474
10.1371/journal.pone.0256419	PLOS ONE	Research Article	-0.953496158963877	0.046033625426609	TRUE	c("Ethiopia", "Ethiopia")	gmail	11	FALSE	1.31344984577977	FALSE	1474
10.1371/journal.pone.0256520	PLOS ONE	Research Article	-0.953496158963877	0.046033625426609	FALSE	c("Ethiopia", "Ethiopia")	gmail	11	FALSE	1.14921492539401	FALSE	1474
10.1371/journal.pone.0256556	PLOS ONE	Research Article	0.619127135732312	-0.0921174953637799	FALSE	c("Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "United States of America")	gmail	33	FALSE	-0.696012709528347	FALSE	1369
10.1371/journal.pone.0256557	PLOS ONE	Research Article	-1.31604562218867	0.0143575470168129	FALSE	c("Ethiopia", "Ethiopia")	gmail	7	FALSE	-0.299916725068574	FALSE	1452
10.1371/journal.pone.0256598	PLOS ONE	Research Article	1.58074960843484	0.0372347147572213	TRUE	c("Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia", "Ethiopia")	c("yahoo", "gmail")	6	FALSE	-0.0487339056550595	FALSE	1468
10.1371/journal.pone.0256600	PLOS ONE	Research Article	-1.31604562218867	0.0343288389472387	FALSE	Ethiopia	c("gmail", "edu")	61	FALSE	-0.106699171673563	FALSE	1466
10.1371/journal.pone.0256634	PLOS ONE	Research Article	-0.345312706375261	-0.0090552065904281	TRUE	c("Ethiopia", "Ethiopia")	gmail	33	FALSE	1.39073686713777	FALSE	1435
10.1371/journal.pone.0256722	PLOS ONE	Research Article	-1.31604562218867	-0.161435426146326	TRUE	c("Ethiopia", "Ethiopia")	gmail	45	FALSE	2.00903303800181	FALSE	1306
10.1371/journal.pone.0256726	PLOS ONE	Research Article	-0.953496158963877	-0.00362651989669966	TRUE	c("Ethiopia", "South Africa", "Ethiopia")	gmail	32	FALSE	0.144483647739952	FALSE	1439
10.1371/journal.pone.0256748	PLOS ONE	Research Article	-0.0797603992886365	0.025691189750593	TRUE	c("India", "India", "India", "Ethiopia", "India")	c("gmail", "gmail")	51	FALSE	-0.966517284281362	FALSE	1460
10.1371/journal.pone.0256794	PLOS ONE	Research Article	-0.0797603992886365	0.0185834320498188	FALSE	c("Ethiopia", "Ethiopia", "Canada", "Ethiopia")	gmail	39	FALSE	0.62752753122748	FALSE	1455
10.1371/journal.pone.0256843	PLOS ONE	Research Article	-0.634083669787924	-0.0130950542716774	FALSE	c("Norway", "Ethiopia", "Norway")	Other	3	FALSE	-0.299916725068574	FALSE	1432
