"Year","Doctype","Publisher","Venue","Title","DOI","Citations","Altmetric","Decision","PubPeer Users"
"2025","article","Public Library of Science (PLoS)","PLOS ONE","Targeting tumor-associated genes, immune response, and circulating tumor cells in intrahepatic cholangiocarcinoma: Therapeutic potential of Atractylodes lancea (Thunb.) DC","10.1371/journal.pone.0323732","2","0","2026-07-02 expression of concern","Hoya Camphorifolia"
"2020","article","Public Library of Science (PLoS)","PLOS ONE","Expression of Concern: Potential Tumor Suppressor NESG1 as an Unfavorable Prognosis Factor in Nasopharyngeal Carcinoma","10.1371/journal.pone.0231298","2","0","	- expression of concern","–"
"2024","article","Public Library of Science (PLoS)","PLOS ONE","Reports on sexual violence published in an online Chinese newspaper: A new frame research","10.1371/journal.pone.0299578","2","0","2026-05-11 expression of concern","–"
"2024","article","Public Library of Science (PLoS)","PLOS ONE","Effect of daily physical activity on ambulatory blood pressure in pregnant women with chronic hypertension: A prospective cohort study protocol","10.1371/journal.pone.0296023","2","0","2026-03-09 expression of concern","–"
"2024","article","Public Library of Science (PLoS)","PLOS ONE","Will advancement in technologies bring fear and damage human employment? Evidence from China’s manufacturing industry","10.1371/journal.pone.0295942","2","0","2026-02-26 expression of concern","–"
"2025","article","Public Library of Science (PLoS)","PLOS ONE","Trends and disparities in Non-Hodgkin Lymphoma related mortality in the United States, 1999–2020","10.1371/journal.pone.0327809","2","0","2026-04-07 expression of concern","–"
"2022","article","Public Library of Science (PLoS)","PLOS ONE","An international consensus for mitigation of the detrimental effects of the COVID-19 pandemic on laparoscopic training","10.1371/journal.pone.0272446","1","8","2025-12-18 expression of concern","–"
"2020","article","Public Library of Science (PLoS)","PLOS ONE","Expression of Concern: MiR-23a Facilitates the Replication of HSV-1 through the Suppression of Interferon Regulatory Factor 1","10.1371/journal.pone.0234092","1","7","	- expression of concern","Hoya Camphorifolia, Actinopolyspora Biskrensis"
"2025","article","Public Library of Science (PLoS)","PLOS ONE","Computational modeling and analysis of medical resource shortages in hospital alliance: A simulation-driven approach","10.1371/journal.pone.0330871","1","2","2026-06-09 expression of concern","Hoya Camphorifolia"
"2026","article","Public Library of Science (PLoS)","PLOS ONE","Expression of Concern: Signaling Networks Associated with AKT Activation in Non-Small Cell Lung Cancer (NSCLC): New Insights on the Role of Phosphatydil-Inositol-3 kinase","10.1371/journal.pone.0349359","1","1","	- expression of concern","–"
"2025","article","Public Library of Science (PLoS)","PLOS ONE","Molecular epidemiology and phylogenetics of camel anaplasmosis","10.1371/journal.pone.0331833","1","1","2026-07-22 expression of concern","–"
"2024","article","Public Library of Science (PLoS)","PLOS ONE","First molecular report of Moniezia expansa in small ruminants of Pakistan with epidemiological insight","10.1371/journal.pone.0314343","1","1","2026-07-23 expression of concern","–"
"2020","article","Public Library of Science (PLoS)","PLOS ONE","Expression of concern: Reduced CTGF expression promotes cell growth, migration, and invasion in nasopharyngeal carcinoma","10.1371/journal.pone.0231520","1","0","	- expression of concern","–"
"2021","article","Public Library of Science (PLoS)","PLOS ONE","Expression of Concern: Functional Improvement of Regulatory T Cells from Rheumatoid Arthritis Subjects Induced by Capsular Polysaccharide Glucuronoxylomannogalactan","10.1371/journal.pone.0247971","1","0","	- expression of concern","–"
"2022","article","Public Library of Science (PLoS)","PLOS ONE","Expression of Concern: Epidural Co-Administration of Dexmedetomidine and Levobupivacaine Improves the Gastrointestinal Motility Function after Colonic Resection in Comparison to Co-Administration of Morphine and Levobupivacaine","10.1371/journal.pone.0279703","1","0","	- expression of concern","–"
"2016","article","Public Library of Science (PLoS)","PLOS ONE","Correction: Who Lives Where and Does It Matter? Changes in the Health Profiles of Older People Living in Long Term Care and the Community over Two Decades in a High Income Country","10.1371/journal.pone.0164935","1","0","2017-03-14 expression of concern","–"
"2025","article","Public Library of Science (PLoS)","PLOS ONE","Creating a novel algorithm for studying the strong convergence to a sequence with applications","10.1371/journal.pone.0319047","1","0","2026-02-19 expression of concern","–"
"2024","article","Public Library of Science (PLoS)","PLOS ONE","Assessing clinical and morphological features of megalotrichosis induced by Tyrosine kinase inhibitors versus Prostaglandins analogues","10.1371/journal.pone.0313326","1","0","2025-03-07 expression of concern","–"
"2025","article","Public Library of Science (PLoS)","PLOS ONE","The effects of learning experience on college students’ deep english learning: a study of the chain mediation effect of motivation and strategy","10.1371/journal.pone.0325491","1","0","2026-07-28 expression of concern","–"
"2019","article","Public Library of Science (PLoS)","PLOS ONE","Expression of Concern: The Coordination of Cell Growth during Fission Yeast Mating Requires Ras1-GTP Hydrolysis","10.1371/journal.pone.0223817","0","0","2019-10-10 expression of concern","–"
"2023","article","Public Library of Science (PLoS)","PLOS ONE","Expression of Concern: 2-aminoethoxydiphenyl borate provides an anti-oxidative effect and mediates cardioprotection during ischemia reperfusion in mice","10.1371/journal.pone.0280118","0","0","2023-01-11 expression of concern","–"
