uri,primary_name_display,replaced
http://dx.doi.org/10.13039/100014954,"AATCC Foundation",
http://dx.doi.org/10.13039/100028419,"AAU National Headquarters",
http://dx.doi.org/10.13039/100008598,"AAUP Foundation",
http://dx.doi.org/10.13039/100025018,"Abacus Life Settlements",
http://dx.doi.org/10.13039/501100021630,"ABA España",
http://dx.doi.org/10.13039/100020849,"Abai Kazakh National Pedagogical University",
http://dx.doi.org/10.13039/501100002668,"Abant Izzet Baysal Üniversitesi",
http://dx.doi.org/10.13039/501100013851,"Aba Teachers University",
http://dx.doi.org/10.13039/501100002670,"ABB",
http://dx.doi.org/10.13039/501100013902,"ABB Corporate Research",
http://dx.doi.org/10.13039/501100014600,"ABB Corporate Research Center China",
http://dx.doi.org/10.13039/501100000314,"ABBEY AWARDS",
http://dx.doi.org/10.13039/100011729,"Abbeyfield Research Foundation",
http://dx.doi.org/10.13039/501100008170,"Abbeyfield Society",R
http://dx.doi.org/10.13039/100023166,"Abbotsford Community Foundation",
http://dx.doi.org/10.13039/100024355,"Abbott and Fenner Business Consultants",
http://dx.doi.org/10.13039/100008800,"Abbott Animal Health",
http://dx.doi.org/10.13039/100009014,"Abbott Canada",
http://dx.doi.org/10.13039/100011946,"Abbott Diabetes Care",
http://dx.doi.org/10.13039/100014386,"Abbott Diagnostics",
http://dx.doi.org/10.13039/100000046,"Abbott Fund",
http://dx.doi.org/10.13039/100030954,"Abbott Germany",
http://dx.doi.org/10.13039/100009015,"Abbott Japan",
http://dx.doi.org/10.13039/100008977,"Abbott Korea",
http://dx.doi.org/10.13039/100001316,"Abbott Laboratories",
http://dx.doi.org/10.13039/100011952,"Abbott Laboratories de Colombia",
http://dx.doi.org/10.13039/100011953,"Abbott Medical Optics",
http://dx.doi.org/10.13039/100015124,"Abbott Molecular",
http://dx.doi.org/10.13039/100016262,"Abbott Northwestern Hospital Foundation",
http://dx.doi.org/10.13039/100011947,"Abbott Nutrition",
http://dx.doi.org/10.13039/100011948,"Abbott Pharmaceuticals",
http://dx.doi.org/10.13039/100011949,"Abbott Vascular",
http://dx.doi.org/10.13039/100006483,"AbbVie",
http://dx.doi.org/10.13039/100010878,"AbbVie Biotherapeutics",
http://dx.doi.org/10.13039/100019211,"AbbVie Canada",
http://dx.doi.org/10.13039/100028420,"AbbVie CF Scholarship",
http://dx.doi.org/10.13039/100006484,"AbbVie Deutschland",
http://dx.doi.org/10.13039/100020582,"AbbVie Foundation",
http://dx.doi.org/10.13039/100032161,"Abbvie France",
http://dx.doi.org/10.13039/100031546,"AbbVie Singapore",
http://dx.doi.org/10.13039/100028270,"Abdallah",
http://dx.doi.org/10.13039/100008612,"A.B. de Lautour Charitable Trust",
http://dx.doi.org/10.13039/501100018638,"Abdul Hameed Shoman Foundation",
http://dx.doi.org/10.13039/100010734,"Abdullah Gül Üniversitesini Destekleme Vakfi",
http://dx.doi.org/10.13039/100022114,"Abdul Latif Jameel Poverty Action Lab",
http://dx.doi.org/10.13039/100019235,"Abdul Latif Jameel Water and Food Systems Lab, Massachusetts Institute of Technology",
http://dx.doi.org/10.13039/501100004684,"Abdul Wali Khan University Mardan",
http://dx.doi.org/10.13039/501100001681,"Abdus Salam International Centre for Theoretical Physics",
http://dx.doi.org/10.13039/100006684,"Abe Belsky Foundation",
http://dx.doi.org/10.13039/100029325,"Abelard Foundation - East",
http://dx.doi.org/10.13039/100027809,"Abel Foundation",
http://dx.doi.org/10.13039/100005317,"Abell Foundation",
http://dx.doi.org/10.13039/100000939,"Abell-Hanger Foundation",
http://dx.doi.org/10.13039/501100008028,"Abengoa",
http://dx.doi.org/10.13039/100012233,"Abeona Therapeutics",
http://dx.doi.org/10.13039/100008726,"Abercrombie Foundation",
http://dx.doi.org/10.13039/100023133,"Aberdeen Health Foundation",
http://dx.doi.org/10.13039/100010040,"Abertay University",
http://dx.doi.org/10.13039/501100000315,"Aberystwyth University",
http://dx.doi.org/10.13039/100027207,"A Better Chicago",
http://dx.doi.org/10.13039/100010696,"Abilene Christian University",
http://dx.doi.org/10.13039/100015532,"Ability Centre",
http://dx.doi.org/10.13039/100027100,"Ability Indiana",
http://dx.doi.org/10.13039/100017480,"ABIM Foundation",
http://dx.doi.org/10.13039/100013577,"Abington Foundation",
http://dx.doi.org/10.13039/100020297,"Abiomed",
http://dx.doi.org/10.13039/501100007362,"Abisch-Frenkel-Stiftung",
http://dx.doi.org/10.13039/100032304,"ABK BioMedical",
http://dx.doi.org/10.13039/100013575,"A Blade of Grass",
http://dx.doi.org/10.13039/501100020562,"Ablerex Electronics",
http://dx.doi.org/10.13039/100010738,"Ablynx",
http://dx.doi.org/10.13039/100001443,"ABMRF/The Foundation for Alcohol Research",
http://dx.doi.org/10.13039/100001437,"Abney Foundation",
http://dx.doi.org/10.13039/501100008019,"Åbo Akademi",
http://dx.doi.org/10.13039/501100006281,"Aboca S.p.A. Società Agricola",
http://dx.doi.org/10.13039/501100000047,"Aboriginal Affairs and Northern Development Canada",
http://dx.doi.org/10.13039/501100024690,"Aboriginal Benefits Foundation",
http://dx.doi.org/10.13039/100026807,"Abortion Conversation Projects",
http://dx.doi.org/10.13039/100028658,"AboutMechanics",
http://dx.doi.org/10.13039/501100024089,"Above and Beyond",
http://dx.doi.org/10.13039/100013726,"Abraham J. and Phyllis Katz Foundation",
http://dx.doi.org/10.13039/100013578,"Abraham Lincoln Brigade Archives",
http://dx.doi.org/10.13039/100025009,"Abrahamson and Uiterwyk Car Accident and Injury Lawyers",
http://dx.doi.org/10.13039/100017006,"Abramson Cancer Center",
http://dx.doi.org/10.13039/100008435,"Abramson Family Cancer Research Institute",
http://dx.doi.org/10.13039/100018207,"Abra Prentice Foundation",
http://dx.doi.org/10.13039/100031494,"abrdn Financial Fairness Trust",
http://dx.doi.org/10.13039/100011913,"A Breath of Hope Lung Foundation",
http://dx.doi.org/10.13039/100010718,"Absa Bank Limited",
http://dx.doi.org/10.13039/100026586,"Absarokee Community Foundation",
http://dx.doi.org/10.13039/100008769,"Abt Global",
http://dx.doi.org/10.13039/501100018721,"Abubakar Tafawa Balewa Universty",
http://dx.doi.org/10.13039/100030986,"Abu Dhabi Agriculture and Food Safety Authority",
http://dx.doi.org/10.13039/100012810,"Abu Dhabi Education Council",
http://dx.doi.org/10.13039/501100002672,"Abu Dhabi National Oil Company",
http://dx.doi.org/10.13039/501100024805,"Abu Dhabi Public Health Centre",
http://dx.doi.org/10.13039/100020871,"Abu Dhabi University",
http://dx.doi.org/10.13039/100019404,"Abundance Foundation",
http://dx.doi.org/10.13039/501100002676,"Abwasserverband Achental-Inntal-Zillertal",
http://dx.doi.org/10.13039/100008346,"AC3",
http://dx.doi.org/10.13039/100001408,"Acacia Foundation",
http://dx.doi.org/10.13039/501100011094,"Academia Brasileira de Ciências",
http://dx.doi.org/10.13039/100010140,"Academia de Ştiinţe a Moldovei",
